GHCND,LAT,LON,ELEV,ST,NAME
USC00010260,34.9092,-87.2747,208.8,AL ,ANDERSON
USC00010764,33.3953,-87.0078,135.6,AL ,BESSEMER 3 WSW
USC00012758,31.445,-86.9533,88.4,AL ,EVERGREEN
USC00013781,33.2725,-86.8336,146.3,AL ,HELENA
USC00015553,32.26,-86.2181,68.6,AL ,MONTGOMERY 6SW
USC00016988,30.5653,-87.7017,49.1,AL ,ROBERTSDALE
USC00018812,34.2833,-86.9142,283.5,AL ,W PT
USC00018859,32.5906,-86.2103,78.3,AL ,WETUMPKA
USC00020080,32.3697,-112.86,533.7,AZ ,AJO                            
USC00020672,36.9139,-113.9422,588.6,AZ ,BEAVER DAM
USC00020678,35.2033,-111.8222,2179.9,AZ ,BELLEMONT WFO
USC00020808,33.4783,-109.7517,1848.6,AZ ,BLACK RVR PUMPS
USC00021248,36.1533,-109.5394,1709.9,AZ ,CANYON DE CHELLY               
USC00021330,32.3222,-110.4147,973.5,AZ ,CASCABEL
USC00022109,34.305,-112.165,1149.4,AZ ,CORDES
USC00022480,32.2844,-110.7314,828.8,AZ ,DESTINY RCH
USC00022782,33.4192,-111.6444,462.7,AZ ,E MESA
USC00023501,33.3947,-110.7933,1115.6,AZ ,GLOBE #3
USC00024702,33.2742,-113.9653,541.0,AZ ,KOFA MINE
USC00024977,33.4992,-112.3631,317.0,AZ ,LITCHFIELD PARK
USC00025412,34.1142,-109.8589,2237.2,AZ ,MC NARY 2N
USC00025494,35.0364,-111.0231,1687.1,AZ ,METEOR CRATER
USC00025924,31.4553,-110.9681,1054.9,AZ ,NOGALES 6 N
USC00026117,32.61,-110.7317,1400.6,AZ ,ORACLE SP
USC00026471,36.1067,-112.0947,771.1,AZ ,PHANTOM RANCH
USC00026601,34.1239,-109.9219,2194.6,AZ ,PINETOP 2E
USC00026796,34.5706,-112.4322,1586.5,AZ ,PRESCOTT                       
USC00027187,32.8117,-111.6314,455.7,AZ ,ROBSON RCH
USC00027855,34.2639,-110.0075,1954.1,AZ ,SHOW LOW AP
USC00029359,35.2414,-112.1928,2105.9,AZ ,WILLIAMS                       
USC00029464,33.7478,-112.5983,509.0,AZ ,WITTMANN 4SW
USC00030130,34.7961,-92.8417,212.8,AR ,ALUM FK
USC00030458,35.8306,-91.7944,174.0,AR ,BATESVILLE LVSTK
USC00030460,35.7594,-91.6383,88.4,AR ,BATESVILLE L&D 1
USC00030764,34.5697,-93.1947,129.8,AR ,BLAKELY MTN DAM
USC00030832,35.0931,-93.9258,182.9,AR ,BOONEVILLE 3 SSE
USC00031152,33.59,-92.8236,35.4,AR ,CAMDEN 1
USC00031596,35.1033,-92.4903,95.1,AR ,CONWAY                         
